Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Singh S., Lacotte J., Majumdar A., Pavone M.","56042918600;57202207899;55325126200;12240587200;","Risk-sensitive inverse reinforcement learning via semi- and non-parametric methods",2018,"International Journal of Robotics Research","37","13-14",,"1713","1740",,1,"10.1177/0278364918772017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047389334&doi=10.1177%2f0278364918772017&partnerID=40&md5=49e47af409b3c83611f581feeeed702b","Department of Aeronautics and Astronautics, Stanford University, United States; Department of Electrical Engineering, Stanford University, United States; Department of Mechanical and Aerospace Engineering, Princeton University, United States","Singh, S., Department of Aeronautics and Astronautics, Stanford University, United States; Lacotte, J., Department of Electrical Engineering, Stanford University, United States; Majumdar, A., Department of Mechanical and Aerospace Engineering, Princeton University, United States; Pavone, M., Department of Aeronautics and Astronautics, Stanford University, United States","coherent risk measures; non-parametric method; risk-sensitive inverse reinforcement learning; semi-parametric method","Behavioral research; Cost functions; Health hazards; Inverse problems; Linear programming; Maximum likelihood; Reinforcement learning; Risk perception; Coherent risk measures; Dynamic decision making; Inverse reinforcement learning; Non-parametric algorithm; Nonparametric methods; Risk sensitivity; Semiparametric; Simulated driving; Risk assessment",Article,"Final",Open Access,Scopus,2-s2.0-85047389334
"Ezzeddine A., Mourad N., Araabi B.N., Ahmadabadi M.N.","57202777893;57202773807;35560470000;57189586135;","Combination of learning from non-optimal demonstrations and feedbacks using inverse reinforcement learning and Bayesian policy improvement",2018,"Expert Systems with Applications","112",,,"331","341",,,"10.1016/j.eswa.2018.06.035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049349995&doi=10.1016%2fj.eswa.2018.06.035&partnerID=40&md5=a900d2e0d857d00c65794189adfcec98","Machine Learning and Computational Modeling Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran; Cognitive Systems Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran","Ezzeddine, A., Machine Learning and Computational Modeling Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran; Mourad, N., Cognitive Systems Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran; Araabi, B.N., Machine Learning and Computational Modeling Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran; Ahmadabadi, M.N., Cognitive Systems Laboratory, School of ECE, College of Engineering, University of TehranTehran, Iran","Human evaluative feedbacks; Interactive learning; Inverse reinforcement learning; Teaching by demonstrations","Air navigation; Demonstrations; Educational technology; Inverse problems; Iterative methods; Robots; Interactive learning; Inverse reinforcement learning; Learner Agent; Navigation tasks; Probabilistic modeling; Reward function; Teaching by demonstration; Transition model; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85049349995
"Li G., He B., Gomez R., Nakamura K.","56132381600;8355392200;12806763700;55489762000;","Interactive Reinforcement Learning from Demonstration and Human Evaluative Feedback",2018,"RO-MAN 2018 - 27th IEEE International Symposium on Robot and Human Interactive Communication",,, 8525837,"1156","1162",,1,"10.1109/ROMAN.2018.8525837","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058071354&doi=10.1109%2fROMAN.2018.8525837&partnerID=40&md5=aaaa1b008207c9a7ce324816b16d4ed1","College of Information Science and Engineering, Ocean University of China, Songling Road 238, Qingdao, 266100, China; Honda Research Institute Japan Ltd. Co., Wako, Japan","Li, G., College of Information Science and Engineering, Ocean University of China, Songling Road 238, Qingdao, 266100, China; He, B., College of Information Science and Engineering, Ocean University of China, Songling Road 238, Qingdao, 266100, China; Gomez, R., Honda Research Institute Japan Ltd. Co., Wako, Japan; Nakamura, K., Honda Research Institute Japan Ltd. Co., Wako, Japan",,"Demonstrations; Inverse problems; Robots; Discount factors; Incorrect action; Interactive Reinforcement Learning; Inverse reinforcement learning; Learning from demonstration; Model-based method; Natural interactions; Optimal policies; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85058071354
"Gao H., Shi G., Xie G., Cheng B.","57195674051;57205095621;57195683595;36611317200;","Car-following method based on inverse reinforcement learning for autonomous vehicle decision-making",2018,"International Journal of Advanced Robotic Systems","15","6",,"","",,3,"10.1177/1729881418817162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058520448&doi=10.1177%2f1729881418817162&partnerID=40&md5=1fef28768842be0feec0041c987b8f09","State Key Laboratory of Automotive Safety and Energy, Tsinghua University, Beijing, China; Center for Intelligent Connected Vehicles and Transportation, Tsinghua University, Beijing, China; Electrical Engineering Department, California Institute of Technology, Pasadena, CA, United States; Department of Automotive Engineering, Hunan University, Changsha, Hunan, China","Gao, H., State Key Laboratory of Automotive Safety and Energy, Tsinghua University, Beijing, China, Center for Intelligent Connected Vehicles and Transportation, Tsinghua University, Beijing, China; Shi, G., Electrical Engineering Department, California Institute of Technology, Pasadena, CA, United States; Xie, G., Department of Automotive Engineering, Hunan University, Changsha, Hunan, China; Cheng, B., State Key Laboratory of Automotive Safety and Energy, Tsinghua University, Beijing, China","automatic driving; autonomous vehicle; Car-following; decision-making; inverse reinforcement learning (IRL)","Automobile drivers; Behavioral research; Data visualization; Decision making; Inverse problems; Learning algorithms; Automatic driving; Autonomous Vehicles; Car following; Decision-making systems; Driving characteristics; Inverse reinforcement learning; Optimization problems; Sequential decisions; Reinforcement learning",Article,"Final",Open Access,Scopus,2-s2.0-85058520448
"Sheffield E.C., Shah M.D.","57205078055;57190221969;","Dungeon digger: Apprenticeship learning for procedural dungeon building agents",2018,"CHI PLAY 2018 - Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts",,,,"603","610",,1,"10.1145/3270316.3271539","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058437749&doi=10.1145%2f3270316.3271539&partnerID=40&md5=d52053ed1174c8a49a6ac018a4129706","College of Computer and Information Science, Northeastern University, Boston, MA  02115, United States","Sheffield, E.C., College of Computer and Information Science, Northeastern University, Boston, MA  02115, United States; Shah, M.D., College of Computer and Information Science, Northeastern University, Boston, MA  02115, United States","Apprenticeship Learning; Inverse Reinforcement Learning; Machine Learning; Procedural Content Generation","Apprentices; Artificial intelligence; Interactive computer systems; Learning systems; Reinforcement learning; Static analysis; Apprenticeship learning; Digital games; Game Levels; Inverse reinforcement learning; Level design; Procedural content generations; Usability studies; Video game levels; Human computer interaction",Conference Paper,"Final",,Scopus,2-s2.0-85058437749
"Zou Q., Li H., Zhang R.","54406213100;57201675742;7404861962;","Inverse Reinforcement Learning via Neural Network in Driver Behavior Modeling",2018,"IEEE Intelligent Vehicles Symposium, Proceedings","2018-June",, 8500666,"1245","1250",,1,"10.1109/IVS.2018.8500666","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056785788&doi=10.1109%2fIVS.2018.8500666&partnerID=40&md5=2956ed31f8466b3b023f7e03611d0a13","BeiDou High Precision Positioning Service Technology Engineering Laboratory, Information Engineering College, Dalian University, DaLian, China; Mechanical and Electrical Engineering College, Dalian Minzu University, DaLian, China","Zou, Q., BeiDou High Precision Positioning Service Technology Engineering Laboratory, Information Engineering College, Dalian University, DaLian, China; Li, H., BeiDou High Precision Positioning Service Technology Engineering Laboratory, Information Engineering College, Dalian University, DaLian, China; Zhang, R., Mechanical and Electrical Engineering College, Dalian Minzu University, DaLian, China","Advanced Driver Assistance Systems; Automated Vehicles; Human Factors and Human Machine Interaction","Automobile drivers; Behavioral research; Decision making; Human computer interaction; Inverse problems; Markov processes; Neural networks; Reinforcement learning; Vehicles; Accuracy of decision makings; Automated vehicles; Convolutional neural network; Driver behavior modeling; Human machine interaction; Inverse reinforcement learning; Linear combinations; Markov Decision Processes; Advanced driver assistance systems",Conference Paper,"Final",,Scopus,2-s2.0-85056785788
"Hirakawa T., Yamashita T., Tamaki T., Fujiyoshi H., Umezu Y., Takeuchi I., Matsumoto S., Yoda K.","55903063300;18042839400;16204110300;6602601896;57200918462;35312449700;57045182000;7101801572;","Can AI predict animal movements? Filling gaps in animal trajectories using inverse reinforcement learning",2018,"Ecosphere","9","10", e02447,"","",,4,"10.1002/ecs2.2447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055748412&doi=10.1002%2fecs2.2447&partnerID=40&md5=257baf0562befecafec54fdf9f9d4e6a","Department of Computer Science, Chubu University, 1200 Matsumoto, Kasugai, Aichi  487-0027, Japan; Graduate School of Engineering, Hiroshima University, 1-4-1 Kagamiyama, Higashi Hiroshima, Hiroshima  739-8527, Japan; Department of Computer Science, Nagoya Institute of Technology, Gokiso-cho, Showa-ku, Nagoya, 466-8555, Japan; RIKEN Center for Advanced Intelligence Project, 1-4-1 Nihonbashi, Chuo-ku, Tokyo, 103-0027, Japan; Center for Materials Research by Information Integration, National Institute for Materials Science, 1-2-1 Sengen, Tsukuba, 305-0047, Japan; Graduate School of Environmental Studies, Nagoya University, Furo, Chikusa, Nagoya, 464-8601, Japan","Hirakawa, T., Department of Computer Science, Chubu University, 1200 Matsumoto, Kasugai, Aichi  487-0027, Japan; Yamashita, T., Department of Computer Science, Chubu University, 1200 Matsumoto, Kasugai, Aichi  487-0027, Japan; Tamaki, T., Graduate School of Engineering, Hiroshima University, 1-4-1 Kagamiyama, Higashi Hiroshima, Hiroshima  739-8527, Japan; Fujiyoshi, H., Department of Computer Science, Chubu University, 1200 Matsumoto, Kasugai, Aichi  487-0027, Japan; Umezu, Y., Department of Computer Science, Nagoya Institute of Technology, Gokiso-cho, Showa-ku, Nagoya, 466-8555, Japan; Takeuchi, I., Department of Computer Science, Nagoya Institute of Technology, Gokiso-cho, Showa-ku, Nagoya, 466-8555, Japan, RIKEN Center for Advanced Intelligence Project, 1-4-1 Nihonbashi, Chuo-ku, Tokyo, 103-0027, Japan, Center for Materials Research by Information Integration, National Institute for Materials Science, 1-2-1 Sengen, Tsukuba, 305-0047, Japan; Matsumoto, S., Graduate School of Environmental Studies, Nagoya University, Furo, Chikusa, Nagoya, 464-8601, Japan; Yoda, K., Graduate School of Environmental Studies, Nagoya University, Furo, Chikusa, Nagoya, 464-8601, Japan","animal movement; behavioral monitoring; bio-logging; biotelemetry; Calonectris leucomelas; habitat selection; interpolation; inverse reinforcement learning; machine learning; reward map; tracking data",,Article,"Final",Open Access,Scopus,2-s2.0-85055748412
"Šošić A., Zoubir A.M., Rueckert E., Peters J., Koeppl H.","55416190200;35584414100;56743244800;35248912800;6603491586;","Inverse reinforcement learning via nonparametric spatio-temporal subgoal modeling",2018,"Journal of Machine Learning Research","19",,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057871867&partnerID=40&md5=9b87203aea94efef65c619b619ac54b7","Signal Processing Group, Technische Universität Darmstadt, Darmstadt, 64283, Germany; Institute for Robotics and Cognitive Systems, University of Lübeck, Lübeck, 23538, Germany; Autonomous Systems Labs, Technische Universität Darmstadt, Darmstadt, 64289, Germany; Bioinspired Communication Systems, Technische Universität Darmstadt, Darmstadt, 64283, Germany","Šošić, A., Signal Processing Group, Technische Universität Darmstadt, Darmstadt, 64283, Germany; Zoubir, A.M., Signal Processing Group, Technische Universität Darmstadt, Darmstadt, 64283, Germany; Rueckert, E., Institute for Robotics and Cognitive Systems, University of Lübeck, Lübeck, 23538, Germany; Peters, J., Autonomous Systems Labs, Technische Universität Darmstadt, Darmstadt, 64289, Germany; Koeppl, H., Bioinspired Communication Systems, Technische Universität Darmstadt, Darmstadt, 64283, Germany","Bayesian Nonparametric Modeling; Gibbs Sampling; Graphical Models; Inverse Reinforcement Learning; Learning from Demonstration; Subgoal Inference","Demonstrations; Inverse problems; Software agents; Bayesian nonparametric modeling; Gibbs sampling; GraphicaL model; Inverse reinforcement learning; Learning from demonstration; Subgoals; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85057871867
"Bogert K., Doshi P.","36095803300;23008336000;","Multi-robot inverse reinforcement learning under occlusion with estimation of state transitions",2018,"Artificial Intelligence","263",,,"46","73",,,"10.1016/j.artint.2018.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050363079&doi=10.1016%2fj.artint.2018.07.002&partnerID=40&md5=434c2a884a42d57e2e7d8b3a676c010a","Department of Computer Science, University of North Carolina Asheville, Asheville, NC  28804, United States; THINC Lab, Department of Computer Science, University of Georgia, Athens, GA  30602, United States","Bogert, K., Department of Computer Science, University of North Carolina Asheville, Asheville, NC  28804, United States; Doshi, P., THINC Lab, Department of Computer Science, University of Georgia, Athens, GA  30602, United States","Inverse reinforcement learning; Machine learning; Maximum entropy; Robotics","Learning systems; Maximum entropy methods; Reinforcement learning; Robotics; Robots; Application scenario; Future position; Inverse reinforcement learning; Learning agents; Learning from demonstration; Reward function; Robotic applications; State transitions; Inverse problems",Article,"Final",,Scopus,2-s2.0-85050363079
"Zhang R., Zhang S., Tong M.H., Cui Y., Rothkopf C.A., Ballard D.H., Hayhoe M.M.","57184546900;57195962668;16426328500;57204585882;15078701200;35809594800;7004513666;","Modeling sensory-motor decisions in natural behavior",2018,"PLoS Computational Biology","14","10", e1006518,"","",,,"10.1371/journal.pcbi.1006518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056274489&doi=10.1371%2fjournal.pcbi.1006518&partnerID=40&md5=89ff249dd77c10675e3fedb38376bbf1","Department of Computer Science, The University of Texas at Austin, Austin, TX, United States; Computer Science and Engineering, University of Michigan, Ann Arbor, MI, United States; Center for Perceptual Systems, The University of Texas at Austin, Austin, TX, United States; Cognitive Science Center and Institute of Psychology, Technical University Darmstadt, Darmstadt, Germany","Zhang, R., Department of Computer Science, The University of Texas at Austin, Austin, TX, United States; Zhang, S., Computer Science and Engineering, University of Michigan, Ann Arbor, MI, United States; Tong, M.H., Center for Perceptual Systems, The University of Texas at Austin, Austin, TX, United States; Cui, Y., Department of Computer Science, The University of Texas at Austin, Austin, TX, United States; Rothkopf, C.A., Cognitive Science Center and Institute of Psychology, Technical University Darmstadt, Darmstadt, Germany; Ballard, D.H., Department of Computer Science, The University of Texas at Austin, Austin, TX, United States; Hayhoe, M.M., Center for Perceptual Systems, The University of Texas at Austin, Austin, TX, United States",,"adult; article; female; human; human experiment; learning algorithm; male; prediction; reinforcement; reward; virtual reality; algorithm; biological model; biology; decision making; physiology; psychomotor performance; reinforcement; Algorithms; Computational Biology; Decision Making; Humans; Models, Biological; Psychomotor Performance; Reinforcement (Psychology); Reward",Article,"Final",Open Access,Scopus,2-s2.0-85056274489
"Massimo D., Ricci F.","56433358100;35270071500;","Harnessing a generalised user behaviour model for next-POI recommendation",2018,"RecSys 2018 - 12th ACM Conference on Recommender Systems",,,,"402","406",,5,"10.1145/3240323.3240392","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056800692&doi=10.1145%2f3240323.3240392&partnerID=40&md5=1ec935bc808b253e9dbc2cb395d6c23b","Free University of Bolzano-Bozen Bolzano, Italy","Massimo, D., Free University of Bolzano-Bozen Bolzano, Italy; Ricci, F., Free University of Bolzano-Bozen Bolzano, Italy","Inverse Reinforcement Learning; Recommender Systems; Tourism; User Modelling","Decision making; Recommender systems; Reinforcement learning; Action prediction; Experimental analysis; Human decision making; Inverse reinforcement learning; Points of interest; Recommendation strategies; Tourism; User Modelling; Behavioral research",Conference Paper,"Final",,Scopus,2-s2.0-85056800692
"Cui Y., Niekum S.","57204585882;15080949400;","Active Reward Learning from Critiques",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460854,"6907","6914",,2,"10.1109/ICRA.2018.8460854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063160591&doi=10.1109%2fICRA.2018.8460854&partnerID=40&md5=f38892345ad6d7646d538d58fc96c627","Department of Computer Science, University of Texas at Austin, Austin, TX  78712, United States","Cui, Y., Department of Computer Science, University of Texas at Austin, Austin, TX  78712, United States; Niekum, S., Department of Computer Science, University of Texas at Austin, Austin, TX  78712, United States",,"Demonstrations; Inverse problems; Machine learning; Reinforcement learning; Robot programming; Robotics; Trajectories; Active learning methods; Automatically generated; Expected informations; Inverse reinforcement learning; Learning from demonstration; Programming robots; Simulated domains; Trajectory segmentation; Learning algorithms",Conference Paper,"Final",,Scopus,2-s2.0-85063160591
"Li K., Rath M., Burdick J.W.","57207262277;55893097600;7103361644;","Inverse Reinforcement Learning via Function Approximation for Clinical Motion Analysis",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460563,"610","617",,,"10.1109/ICRA.2018.8460563","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063164463&doi=10.1109%2fICRA.2018.8460563&partnerID=40&md5=ca197bf81bf63364b8ea0f1afd1b11bc","California Institute of Technology, Department of Mechanical and Civil Engineering, Pasadena, CA  91125, United States; University of California Los Angeles, Los Angeles, CA  90095, United States","Li, K., California Institute of Technology, Department of Mechanical and Civil Engineering, Pasadena, CA  91125, United States; Rath, M., University of California Los Angeles, Los Angeles, CA  90095, United States; Burdick, J.W., California Institute of Technology, Department of Mechanical and Civil Engineering, Pasadena, CA  91125, United States",,"Inverse problems; Machine learning; Motion analysis; Patient rehabilitation; Robotics; Function approximation; High-dimensional; Human movements; Inverse reinforcement learning; Linearly proportional; Optimality equation; Simulated environment; Spinal cord injuries (SCI); Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85063164463
"Rehder E., Wirth F., Lauer M., Stiller C.","56724034800;57208073979;56207151400;7102694878;","Pedestrian Prediction by Planning Using Deep Neural Networks",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460203,"5903","5908",,12,"10.1109/ICRA.2018.8460203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061302737&doi=10.1109%2fICRA.2018.8460203&partnerID=40&md5=7947d3bbf3174e02d503ee26c325ecdb","Daimler RandD, Environment Perception, Sindelfingen, Germany; Institute of Measurement and Control Systems, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany","Rehder, E., Daimler RandD, Environment Perception, Sindelfingen, Germany; Wirth, F., Institute of Measurement and Control Systems, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany; Lauer, M., Institute of Measurement and Control Systems, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany; Stiller, C., Institute of Measurement and Control Systems, Karlsruhe Institute of Technology (KIT), Karlsruhe, 76131, Germany",,"Autonomous vehicles; Forecasting; Motion estimation; Reinforcement learning; Robotics; Behavior patterns; Convolutional networks; Entire system; Experimental validations; Inverse reinforcement learning; Mixture density function; Motion prediction; Planning stages; Deep neural networks",Conference Paper,"Final",,Scopus,2-s2.0-85061302737
"Shkurti F., Kakodkar N., Dudek G.","47762168300;57193132765;7006413576;","Model-Based Probabilistic Pursuit via Inverse Reinforcement Learning",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8463196,"7804","7811",,1,"10.1109/ICRA.2018.8463196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063153304&doi=10.1109%2fICRA.2018.8463196&partnerID=40&md5=f932861979d5226fd748eff6de9bae2d","Center for Intelligent Machines (CIM), School of Computer Science, McGill University in Montreal, Mobile Robotics Lab, Canada","Shkurti, F., Center for Intelligent Machines (CIM), School of Computer Science, McGill University in Montreal, Mobile Robotics Lab, Canada; Kakodkar, N., Center for Intelligent Machines (CIM), School of Computer Science, McGill University in Montreal, Mobile Robotics Lab, Canada; Dudek, G., Center for Intelligent Machines (CIM), School of Computer Science, McGill University in Montreal, Mobile Robotics Lab, Canada",,"Inverse problems; Machine learning; Robot programming; Robotics; Robots; Semantics; Visual servoing; Combinatorial search; Domain-specific knowledge; Graph representation; Integrated prediction; Inverse reinforcement learning; Multiple satellites; Pursuit algorithms; Short-term behavior; Reinforcement learning",Conference Paper,"Final",,Scopus,2-s2.0-85063153304
"Guo M., Andersson S., Dimarogonas D.V.","55921188600;57196085202;6506281602;","Human-in-the-Loop Mixed-Initiative Control under Temporal Tasks",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460793,"6395","6400",,1,"10.1109/ICRA.2018.8460793","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063131458&doi=10.1109%2fICRA.2018.8460793&partnerID=40&md5=836fbadebfa913c634c76c2fa906ee9f","School of Electrical Engineering, KTH Royal Institute of Technology, ACCESS Linnaeus CenterSE-100 44, Sweden","Guo, M., School of Electrical Engineering, KTH Royal Institute of Technology, ACCESS Linnaeus CenterSE-100 44, Sweden; Andersson, S., School of Electrical Engineering, KTH Royal Institute of Technology, ACCESS Linnaeus CenterSE-100 44, Sweden; Dimarogonas, D.V., School of Electrical Engineering, KTH Royal Institute of Technology, ACCESS Linnaeus CenterSE-100 44, Sweden",,"Controllers; Coordination reactions; Iterative methods; Reinforcement learning; Robotics; Robots; Temporal logic; Continuous controller; Hard and soft constraints; Human-in-the-loop; Human-in-the-loop simulations; Inverse reinforcement learning; Linear temporal logic; Mixed initiative; Online coordination; Robot programming",Conference Paper,"Final",,Scopus,2-s2.0-85063131458
"Perez-Higueras N., Caballero F., Merino L.","56414879200;8956620100;7003946345;","Learning Human-Aware Path Planning with Fully Convolutional Networks",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460851,"5897","5902",,2,"10.1109/ICRA.2018.8460851","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063126724&doi=10.1109%2fICRA.2018.8460851&partnerID=40&md5=6f25a11a5ccf947faa39b0cc6901c7cc","Universidad Pablo de Olavide, School of Engineering, Crta. Utrera km 1, Seville, Spain","Perez-Higueras, N., Universidad Pablo de Olavide, School of Engineering, Crta. Utrera km 1, Seville, Spain; Caballero, F., Universidad Pablo de Olavide, School of Engineering, Crta. Utrera km 1, Seville, Spain; Merino, L., Universidad Pablo de Olavide, School of Engineering, Crta. Utrera km 1, Seville, Spain",,"Air navigation; Convolution; Learning algorithms; Neural networks; Random errors; Reinforcement learning; Robot programming; Robotics; Robots; Configuration space; Convolutional networks; Convolutional neural network; Inverse reinforcement learning; Path planning for robots; Rapidly-exploring random trees; Real trajectories; Social navigation; Motion planning",Conference Paper,"Final",,Scopus,2-s2.0-85063126724
"Gonzalez D.S., Erkent O., Romero-Cano V., Dibangoye J., Laugier C.","56382000700;16549364800;55920292800;25640845700;7007031683;","Modeling Driver Behavior from Demonstrations in Dynamic Environments Using Spatiotemporal Lattices",2018,"Proceedings - IEEE International Conference on Robotics and Automation",,, 8460208,"3384","3390",,1,"10.1109/ICRA.2018.8460208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063162728&doi=10.1109%2fICRA.2018.8460208&partnerID=40&md5=8ba2c7dc745aa5dfea2919ced1ae3097","Inria Rhone-Alpes, Grenoble, France; Universidad Autónoma de Occidente, Cali, Colombia","Gonzalez, D.S., Inria Rhone-Alpes, Grenoble, France; Erkent, O., Inria Rhone-Alpes, Grenoble, France; Romero-Cano, V., Universidad Autónoma de Occidente, Cali, Colombia; Dibangoye, J., Inria Rhone-Alpes, Grenoble, France; Laugier, C., Inria Rhone-Alpes, Grenoble, France",,"Collision avoidance; Cost functions; Motion planning; Reinforcement learning; Robotics; Trajectories; Vehicles; Computational power; Dynamic environments; Dynamic obstacles; Instrumented vehicle; Inverse reinforcement learning; Model assessment; Model parameters; Path planning techniques; Inverse problems",Conference Paper,"Final",,Scopus,2-s2.0-85063162728
"Zhou Z., Bloem M., Bambos N.","55971412900;23570762400;7004840524;","Infinite Time Horizon Maximum Causal Entropy Inverse Reinforcement Learning",2018,"IEEE Transactions on Automatic Control","63","9", 8115277,"2787","2802",,3,"10.1109/TAC.2017.2775960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035769716&doi=10.1109%2fTAC.2017.2775960&partnerID=40&md5=9ff127d1b5cd0f94f452dd030dbc991c","Department of Electrical Engineering, Department of Management Science and Engineering, Stanford University, Stanford, CA  94305, United States; Advanced Analytics, Steelcase, Inc., Grand Rapids, MI  49508, United States","Zhou, Z., Department of Electrical Engineering, Department of Management Science and Engineering, Stanford University, Stanford, CA  94305, United States; Bloem, M., Advanced Analytics, Steelcase, Inc., Grand Rapids, MI  49508, United States; Bambos, N., Department of Electrical Engineering, Department of Management Science and Engineering, Stanford University, Stanford, CA  94305, United States","Decision making; learning (artificial intelligence); Markov processes; optimization","Behavioral research; Convex optimization; Decision making; Entropy; Inverse problems; Markov processes; Analytical properties; Convex optimization problems; Efficient computation; Gradient based algorithm; Infinite time horizon; Inverse reinforcement learning; Markov Decision Processes; Optimization programs; Reinforcement learning",Article,"Final",,Scopus,2-s2.0-85035769716
"Kangasrääsiö A., Kaski S.","56188897500;35302360900;","Inverse reinforcement learning from summary data",2018,"Machine Learning","107","8-10",,"1517","1535",,2,"10.1007/s10994-018-5730-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049083108&doi=10.1007%2fs10994-018-5730-4&partnerID=40&md5=b72fde9cd37c2f3ced115271761e3e38","Department of Computer Science, Aalto University, Espoo, Finland","Kangasrääsiö, A., Department of Computer Science, Aalto University, Espoo, Finland; Kaski, S., Department of Computer Science, Aalto University, Espoo, Finland","Approximate Bayesian computation; Bayesian inference; Inverse reinforcement learning; Monte-Carlo estimation","Bayesian networks; Inference engines; Inverse problems; Uncertainty analysis; Approximate Bayesian; Bayesian inference; Exact and approximate inferences; Inverse reinforcement learning; Monte-Carlo estimation; Parameter uncertainty; Reinforcement learning models; Task completion time; Reinforcement learning",Article,"Final",Open Access,Scopus,2-s2.0-85049083108
"Bezzo N.","36547454800;","Predicting Malicious Intention in CPS under Cyber-Attack",2018,"Proceedings - 9th ACM/IEEE International Conference on Cyber-Physical Systems, ICCPS 2018",,, 8443756,"351","352",,,"10.1109/ICCPS.2018.00049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053515139&doi=10.1109%2fICCPS.2018.00049&partnerID=40&md5=85840601a39fd91aeb4fa4d1818fac2d","Department of Systems and Information Engineering, Department of Electrical and Computer Engineering, University of Virginia, United States","Bezzo, N., Department of Systems and Information Engineering, Department of Electrical and Computer Engineering, University of Virginia, United States","autonomous vehicles; CPS; cyber security; machine learning; malicious intention; reachability analysis; resileincy; robotics; sensor spoofing","Crime; Cyber Physical System; Embedded systems; Forecasting; Inverse problems; Learning systems; Network security; Reinforcement learning; Risk assessment; Robotics; Autonomous Vehicles; Cyber security; malicious intention; Reachability analysis; resileincy; Computer crime",Conference Paper,"Final",,Scopus,2-s2.0-85053515139
"Kamalapurkar R.","55210138200;","Linear inverse reinforcement learning in continuous time and space",2018,"Proceedings of the American Control Conference","2018-June",, 8431430,"1683","1688",,1,"10.23919/ACC.2018.8431430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052564010&doi=10.23919%2fACC.2018.8431430&partnerID=40&md5=a7f69319e3a63eee4b97b01d974621db","Oklahoma State University, School of Mechanical and Aerospace Engineering, United States","Kamalapurkar, R., Oklahoma State University, School of Mechanical and Aerospace Engineering, United States",,,Conference Paper,"Final",,Scopus,2-s2.0-85052564010
"Imani M., Braga-Neto U.","57189031055;6603390822;","Optimal Control of Gene Regulatory Networks with Unknown Cost Function",2018,"Proceedings of the American Control Conference","2018-June",, 8431514,"3939","3944",,2,"10.23919/ACC.2018.8431514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052573917&doi=10.23919%2fACC.2018.8431514&partnerID=40&md5=1c71a2419ebfe49214826375d313bd5e","Texas AM University, Department of Electrical and Computer Engineering, College Station, TX, United States","Imani, M., Texas AM University, Department of Electrical and Computer Engineering, College Station, TX, United States; Braga-Neto, U., Texas AM University, Department of Electrical and Computer Engineering, College Station, TX, United States",,,Conference Paper,"Final",,Scopus,2-s2.0-85052573917
